X,Y,OBJECTID,DIRECCION_INCIDENTE,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.1281643,4.61160460015146,3389,"Av Carrera 68 con Calle 22, sentido s→n",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6116046,-74.1281643
-74.0455444999999,4.75915640015629,3390,"Autopista Norte con Calle 182, sentido s→n",Atropello,Bicitaxi (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7591564,-74.0455445
-74.135255,4.58576190015062,3391,Calle 50 sur con Carrera 34,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5857619,-74.135255
-74.0691289,4.61516620015158,3392,Av Carrera 7 con Calle 28,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6151662,-74.0691289
-74.17083,4.62848660015201,3393,"Av Ciudad de Cali con Av Ciudad de Villavicencio, sentido s→n",Choque con lesionado,Bicitaxi (1) - Ciclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6284866,-74.17083
-74.1378,4.63044000015207,3394,"Av Boyacá con Av Américas, sentido n→s",Choque con lesionado,Camión (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.63044,-74.1378
-74.1093824,4.72294030015512,3395,Carrera 110A con Calle 88,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7229403,-74.1093824
-74.0742231,4.67714450015362,3396,"Carrera 56 bis con Calle 78, sentido n→s",Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.6771445,-74.0742231
-74.1351657,4.66027400015309,3397,Av Ciudad de Cali con Calle 143,Choque simple,Automóvil particular (1) - Bus SITP (1),Sin lesionados,2025/05/09 00:00:00+00,4.660274,-74.1351657
-74.1751012999999,4.62193190015181,3398,Carrera 81I con Calle 51A sur,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6219319,-74.1751013
-74.1557423,4.54897820014942,3399,Calle 70 sur con Carrera 21,Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.5489782,-74.1557423
-74.1029498999999,4.65219300015282,3400,"Av El Dorado (Calle 26) con Av Ciudad de Cali, sentido or→occ",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.652193,-74.1029499
-74.1446771,4.59538640015096,3401,"Autopista Sur con Av Boyacá, sentido or→occ",Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/05/09 00:00:00+00,4.5953864,-74.1446771
-74.108106,4.66163160015309,3402,"Av El Dorado (Calle 26) con Carrera 44, sentido occ→or",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) - Acompañante lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6616316,-74.108106
-74.1226746999999,4.55851300014977,3403,Av Caracas con Carrera 10,Falla semafórica,Intersección semafórica,Sin lesionados,2025/05/09 00:00:00+00,4.558513,-74.1226747
-74.1545391,4.62785510015199,3404,Carrera 9B este con Calle 35B sur,Choque simple,Bus / buseta (1) - Motocicleta (1),,2025/05/09 00:00:00+00,4.6278551,-74.1545391
-74.0882299,4.59673440015101,3405,Carrera 17 con Calle 4,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.5967344,-74.0882299
-76.5051093,3.43242740011298,3406,Carrera 28 con Calle 34,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/05/09 00:00:00+00,3.4324274,-76.5051093
-74.0849863,4.58931550015077,3407,"Av Comuneros con Av Carrera 10, sentido or→occ",Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.5893155,-74.0849863
-74.1079256,4.58441890015061,3408,Carrera 24 con Calle 25 sur,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5844189,-74.1079256
-74.0905332,4.60690270015132,3409,"Carrera 24 con Calle 10, sentido s→n",Choque con lesionado,Camión (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6069027,-74.0905332
-74.0862519,4.58307260015054,3410,Carrera 8 con Calle 7 sur,Choque simple,Motocicleta (2),Sin lesionados,2025/05/09 00:00:00+00,4.5830726,-74.0862519
-74.1230158,4.59372800015091,3411,"Autopista Sur con Calle 38A sur, sentido n→s",Choque simple,Camión (1) - Camioneta (1),Sin lesionados,2025/05/09 00:00:00+00,4.593728,-74.1230158
-74.1107772,4.5777504001504,3412,Av Caracas con Calle 31 sur,Falla semafórica,Intersección semafórica,Sin lesionados,2025/05/09 00:00:00+00,4.5777504,-74.1107772
-74.0978903,4.69028480015402,3413,Calle 72A con Carrera 75,Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.6902848,-74.0978903
-74.1206463,4.60357330015122,3414,"Carrera 50 con Calle 22, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6035733,-74.1206463
-74.0664758999999,4.62339040015188,3415,"Av Carrera 7 con Calle 36, sentido s→n",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6233904,-74.0664759
-74.1574644,4.64526100015259,3416,"Calle 6A con Carrera 88, sentido or→occ",Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.645261,-74.1574644
-74.1727715,4.60484190015126,3417,"Calle 57C sur con Carrera 77I, sentido or→occ",Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6048419,-74.1727715
-74.0824127,4.7112602001547,3418,"Calle 127A con Carrera 81, sentido or→occ",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7112602,-74.0824127
-74.1008484,4.67071460015341,3419,"Av José Celestino Mutis con Carrera 73, sentido or→occ",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.6707146,-74.1008484
-74.125267,4.67204830015343,3420,"Av La Esperanza con Av Ciudad de Cali, sentido or→occ",Choque simple,Automóvil particular (1) - Taxi (1),Sin lesionados,2025/05/09 00:00:00+00,4.6720483,-74.125267
-74.1202362,4.71017410015472,3421,"Transversal 106 con Calle 75C, sentido s→n",Choque simple,Camioneta (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7101741,-74.1202362
-74.1220891999999,4.55781000014976,3422,Av Caracas con Carrera 9,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/05/09 00:00:00+00,4.55781,-74.1220892
-74.0884371,4.74053120015565,3423,"Av Suba con Carrera 95B, sentido or→occ",Choque con lesionado,Bus SITP (1) - Ciclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7405312,-74.0884371
-74.0852732,4.60361590015119,3424,"Carrera 18 con Calle 10, sentido n→s",Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/05/09 00:00:00+00,4.6036159,-74.0852732
-74.1199171,4.72020410015502,3425,"Av Calle 80 con Carrera 112F, sentido or→occ",Choque simple,Camión (2),Sin lesionados,2025/05/09 00:00:00+00,4.7202041,-74.1199171
-74.0608328,4.65824430015298,3426,"Av Chile (Calle 72) con Carrera 27A, sentido or→occ",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6582443,-74.0608328
-74.1305462999999,4.64641260015264,3427,"Av Boyacá con Calle 15, sentido n→s",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6464126,-74.1305463
-74.0450336,4.75859440015627,3428,"Autopista Norte con Calle 208, sentido s→n",Choque con lesionado,Bus SITP (1) - Vehículo escolar (1) - Conductor lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7585944,-74.0450336
-74.1469860999999,4.68569440015389,3429,Carrera 112A con Calle 22I,Choque con lesionado,Bus SITP (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6856944,-74.1469861
-74.0720919999999,4.71098860015473,3430,"Autopista Sur con Carrera 65, sentido occ→or",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.7109886,-74.072092
-74.1009577,4.59746340015101,3431,"Carrera 27 con Calle 1D, sentido s→n",Choque simple,Grúa (1) - Automóvil particular (1),Sin lesionados,2025/05/09 00:00:00+00,4.5974634,-74.1009577
-74.0391863,4.75718250015623,3432,"Carrera 4 con Calle 180, sentido n→s",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7571825,-74.0391863
-74.1008484,4.67071460015341,3433,"Av José Celestino Mutis con Carrera 105, sentido or→occ",Choque simple,Motocicleta (1) - Patineta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6707146,-74.1008484
-74.1266098,4.62069660015176,3434,Carrera 68A bis con Calle 1 sur,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6206966,-74.1266098
-74.1084724999999,4.69096080015404,3435,"Av Ciudad de Cali con Calle 68A, sentido s→n",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6909608,-74.1084725
-74.0720919999999,4.71098860015473,3436,"Autopista Sur con Carrera 50, sentido occ→or",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7109886,-74.072092
-74.124673,4.72609050015521,3437,"Av Calle 80 con Carrera 119, sentido or→occ",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7260905,-74.124673
-74.1319192999999,4.66399520015318,3438,"Av Ciudad de Cali con Calle 20, sentido n→s",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6639952,-74.1319193
-74.1351657,4.66027400015309,3439,"Av José Celestino Mutis con Av Ciudad de Cali, sentido occ→or",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.660274,-74.1351657
-74.0863722,4.75165740015605,3440,"Calle 153 con Carrera 97B, sentido occ→or",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7516574,-74.0863722
-74.0240009999999,4.73153060015538,3441,"Av Carrera 7 con Calle 156, sentido s→n",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7315306,-74.024001
-74.0935787,4.73659680015553,3442,"Carrera 99A con Calle 135, sentido n→s",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.7365968,-74.0935787
-74.1008484,4.67071460015341,3443,"Av José Celestino Mutis con Carrera 50, sentido occ→or",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6707146,-74.1008484
-74.0450336,4.75859440015627,3444,"Autopista Norte con Calle 191, sentido s→n",Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/05/09 00:00:00+00,4.7585944,-74.0450336
-74.1498971,4.62167530015181,3445,"Carrera 78 con Calle 36A sur, sentido s→n",Choque simple,Camioneta (2),Sin lesionados,2025/05/09 00:00:00+00,4.6216753,-74.1498971
-74.122848,4.74449380015581,3446,"Calle 136A con Carrera 151C, sentido n→s",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7444938,-74.122848
-74.0667319999999,4.62251850015185,3447,"Av Carrera 7 con Calle 35, sentido n→s",Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.6225185,-74.066732
-74.0600110999999,4.70381300015446,3448,"Calle 122 con Carrera 51, sentido or→occ",Choque con lesionado,Motociclista lesionado (2) - Acompañante lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.703813,-74.0600111
-74.0720919999999,4.71098860015473,3449,"Av Circunvalar con Calle 65, sentido s→n",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.7109886,-74.072092
-74.1091443999999,4.64624650015264,3450,"Av Carrera 68 con Av Primero de Mayo, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6462465,-74.1091444
-74.1008484,4.67071460015341,3451,"Av José Celestino Mutis con Carrera 93, sentido or→occ",Fallecido hospitalario,Tractocamión (1) - Peatón fallecido (1),Fallecido hospitalario,2025/05/09 00:00:00+00,4.6707146,-74.1008484
-74.0431708,4.71616220015487,3452,"Calle 134 con Carrera 15, sentido occ→or",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.7161622,-74.0431708
-74.1008815,4.72999730015532,3453,"Av Ciudad de Cali con Calle 129, sentido s→n",Choque simple,Taxi (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7299973,-74.1008815
-74.1105082,4.70835840015465,3454,"Autopista Medellín con km 1,5, sentido or→occ",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.7083584,-74.1105082
-74.0912436,4.50156900014793,3455,"Calle 86 con Av Carrera 13, sentido or→occ",Choque simple,Automóvil particular (1) - Taxi (1),Sin lesionados,2025/05/09 00:00:00+00,4.501569,-74.0912436
-74.0481920999999,4.74283000015574,3456,"Autopista Norte con Calle 153, sentido s→n",Varado,Volqueta,Sin lesionados,2025/05/09 00:00:00+00,4.74283,-74.0481921
-74.1795466,4.61025770015142,3457,"Av Agoberto Mejía con Calle 58J sur, sentido n→s",Choque simple,Grúa (1) - Camioneta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6102577,-74.1795466
-74.1262389,4.58790190015068,3458,"Av Gaitán Cortés con Av Ciudad de Villavicencio, sentido n→s",Choque con lesionado,Camión (1) - Taxi (1) - Conductor lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5879019,-74.1262389
-74.1178068,4.50138910014788,3459,"Carrera 4A con Calle 96A sur, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5013891,-74.1178068
-74.0162869,4.6706751001534,3460,"Vía Bogotá - La Calera con km 3, sentido occ→or",Varado,Automóvil particular,Sin lesionados,2025/05/09 00:00:00+00,4.6706751,-74.0162869
-74.0814953999999,4.70165310015441,3461,"Av Boyacá con Av Pepe Sierra, sentido s→n",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.7016531,-74.0814954
-74.1536786,4.61962970015177,3462,"Diagonal 2 con Carrera 78C, sentido or→occ",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6196297,-74.1536786
-74.1351657,4.66027400015309,3463,"Av Ciudad de Cali con Av Américas, sentido n→s",Choque con lesionado,Bus SITP (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.660274,-74.1351657
-74.1615088,4.64438410015253,3464,"Av Guayacanes con Calle 8, sentido s→n",Choque simple,Taxi (1) - Bicitaxi (1),Sin lesionados,2025/05/09 00:00:00+00,4.6443841,-74.1615088
-74.1457513999999,4.61466380015161,3465,"Carrera 72N con Calle 38 sur, sentido n→s",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.6146638,-74.1457514
-74.1615088,4.64438410015253,3466,"Av Guayacanes con Calle 49B sur, sentido s→n",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6443841,-74.1615088
-74.1107772,4.5777504001504,3467,Av Caracas con Calle 31 sur,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/05/09 00:00:00+00,4.5777504,-74.1107772
-74.06736,4.64751830015266,3468,"Carrera 16 con Calle 60, sentido s→n",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6475183,-74.06736
-74.0894028,4.67191040015345,3469,"Av Carrera 68 con Calle 66, sentido n→s",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6719104,-74.0894028
-74.1446771,4.59538640015096,3470,"Autopista Sur con Carrera 72, sentido or→occ",Varado,,Sin lesionados,2025/05/09 00:00:00+00,4.5953864,-74.1446771
-74.1066074,4.69456190015419,3471,"Av Ciudad de Cali con Calle 71A, sentido s→n",Choque simple,Automóvil particular (1) - Camioneta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6945619,-74.1066074
-74.0743358999999,4.59996890015108,3472,"Calle 12B con Av Carrera 7, sentido occ→or",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5999689,-74.0743359
-74.1718443999999,4.60621560015129,3473,"Calle 57A sur con Carrera 77K, sentido or→occ",Choque con lesionado,Camioneta (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6062156,-74.1718444
-74.0620350999999,4.73625330015553,3474,"Calle 152 con Carrera 58, sentido occ→or",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.7362533,-74.0620351
-74.1217867999999,4.61193140015151,3475,"Transversal 53 con Calle 16 sur, sentido s→n",Choque con lesionado,Motociclista lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.6119314,-74.1217868
-74.1259848999999,4.61939560015176,3476,"Av Carrera 68 con Calle 3 sur, sentido n→s",Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6193956,-74.1259849
-74.1580506999999,4.64602860015258,3477,"Calle 6A con Carrera 88D, sentido occ→or",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6460286,-74.1580507
-74.0903876,4.63433500015219,3478,"Av Boyacá con Av El Dorado (Calle 26), sentido n→s",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.634335,-74.0903876
-74.091103,4.65430580015286,3479,"Carrera 60 con Calle 100, sentido s→n",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.6543058,-74.091103
-74.0699451,4.69998270015433,3480,"Av Suba con Av Pepe Sierra, sentido s→n",Choque simple,Automóvil particular (3),Sin lesionados,2025/05/09 00:00:00+00,4.6999827,-74.0699451
-74.1202221999999,4.55728100014971,3481,"Calle 49H sur con Av Carrera 10, sentido or→occ",Manifestación,Peatón (10),Sin lesionados,2025/05/09 00:00:00+00,4.557281,-74.1202222
-74.0788166999999,4.60529940015127,3482,"Av Caracas con Calle 84 sur, sentido n→s",Choque simple,Bus SITP (1) - Automóvil particular (1),Sin lesionados,2025/05/09 00:00:00+00,4.6052994,-74.0788167
-74.0328847,4.76224180015636,3483,"Carrera 11 con Calle 185B, sentido n→s",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.7622418,-74.0328847
-74.0799342999999,4.6429192001525,3484,"Calle 53 con Carrera 35, sentido occ→or",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6429192,-74.0799343
-74.1001764,4.68035670015373,3485,"Av Boyacá con Calle 142A, sentido n→s",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6803567,-74.1001764
-74.1005731,4.65726730015298,3486,"Calle 53 con Carrera 68, sentido or→occ",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6572673,-74.1005731
-74.036281,4.7566556001562,3487,"Autopista Norte con Calle 180, sentido s→n",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.7566556,-74.036281
-74.0348882,4.68786460015398,3488,"Av Carrera 7 con Calle 109, sentido n→s",Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6878646,-74.0348882
-74.0685652,4.66064070015308,3489,"Av Carrera 24 con Calle 70A, sentido s→n",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6606407,-74.0685652
-74.1001764,4.68035670015373,3490,"Av Boyacá con Av Guayacanes, sentido s→n",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6803567,-74.1001764
-74.0903876,4.63433500015219,3491,"NQS con Av El Dorado (Calle 26), sentido s→n",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.634335,-74.0903876
-74.1738485,4.62717590015199,3492,"Av Ciudad de Cali con Calle 46 sur, sentido s→n",Choque simple,Bus articulado / biarticulado (2),Sin lesionados,2025/05/09 00:00:00+00,4.6271759,-74.1738485
-74.0421332,4.75937220015627,3493,"Diagonal 182 con Carrera 20, sentido or→occ",Choque simple,Camioneta (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7593722,-74.0421332
-74.1220891999999,4.55781000014976,3494,"Av Caracas con Carrera 9, sentido or→occ",Choque simple,Bus SITP (2),Sin lesionados,2025/05/09 00:00:00+00,4.55781,-74.1220892
-74.1249349,4.68444750015384,3495,"Av El Dorado (Calle 26) con Carrera 96, sentido or→occ",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6844475,-74.1249349
-74.146093,4.70096940015442,3496,"Av El Dorado (Calle 26) con Carrera 69, sentido or→occ",Choque simple,Automóvil particular (1) - Camioneta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7009694,-74.146093
-74.0792962,4.57605110015031,3497,Carrera 2 este con Calle 21,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Separador (1),Con lesionados,2025/05/09 00:00:00+00,4.5760511,-74.0792962
-74.1066074,4.69456190015419,3498,"Av Ciudad de Cali con Calle 71A, sentido s→n",Choque simple,Automóvil particular (2),,2025/05/09 00:00:00+00,4.6945619,-74.1066074
-74.0693734,4.6981598001543,3499,"Av Suba con Calle 115, sentido n→s",Choque simple,Automóvil particular (3),Sin lesionados,2025/05/09 00:00:00+00,4.6981598,-74.0693734
-74.1489243,4.62328710015183,3500,Calle 35A con Carrera 78A,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6232871,-74.1489243
-74.1001764,4.68035670015373,3501,"Av Boyacá con Calle 12, sentido s→n",Choque simple,Camioneta (1) - Automóvil particular (2) - Montacarga (1),Sin lesionados,2025/05/09 00:00:00+00,4.6803567,-74.1001764
-74.1241453,4.65151980015281,3502,"Av Boyacá con Calle 19, sentido n→s",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6515198,-74.1241453
-74.1008815,4.72999730015532,3503,"Av Ciudad de Cali con Calle 129, sentido n→s",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7299973,-74.1008815
-74.0627335,4.69722150015429,3504,Carrera 53 con Calle 108,Choque objeto fijo con lesionado,Ambulancia (1) - Camioneta (1) - Poste (1),Con lesionados,2025/05/09 00:00:00+00,4.6972215,-74.0627335
-74.1020176,4.58163710015047,3505,"Av Caracas con Calle 21 sur, sentido s→n",Atropello,Motocicleta (1) - Peatón lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.5816371,-74.1020176
-74.0467604,4.74721170015588,3506,"Autopista Norte con Calle 166, sentido s→n",Choque simple,Automóvil particular (2),Sin lesionados,2025/05/09 00:00:00+00,4.7472117,-74.0467604
-74.0860329,4.67760950015366,3507,"Av Chile (Calle 72) con Carrera 110D, sentido occ→or",Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6776095,-74.0860329
-74.0846109999999,4.57708210015035,3508,Calle 11 con Carrera 4,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5770821,-74.084611
-74.0948589,4.61023360015146,3509,"NQS con Calle 10, sentido n→s",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6102336,-74.0948589
-74.1438487999999,4.5384249001491,3510,"Calle 78C sur con Carrera 18D, sentido occ→or",Choque con lesionado,Taxi (1) - Conductor lesionado (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5384249,-74.1438488
-74.1190256,4.62888420015207,3511,"Av Américas con Carrera 65, sentido or→occ",Choque simple,,Sin lesionados,2025/05/09 00:00:00+00,4.6288842,-74.1190256
-74.0506096999999,4.75269360015607,3512,"Calle 170 con Carrera 53, sentido or→occ",Choque con lesionado,Camioneta (1) - Ambulancia (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7526936,-74.0506097
-74.0967366,4.58034130015046,3513,"Carrera 12A con Calle 18 sur, sentido s→n",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5803413,-74.0967366
-74.102653,4.58129080015048,3514,Av Primero de Mayo con Av Caracas,Atropello,Motociclista lesionado (1) - Peatón lesionado (2),Con lesionados,2025/05/09 00:00:00+00,4.5812908,-74.102653
-74.1494711999999,4.62022690015175,3515,"Carrera 74 con Calle 37 sur, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6202269,-74.1494712
-74.110808,4.68782600015395,3516,"Calle 65 bis con Av Ciudad de Cali, sentido occ→or",Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.687826,-74.110808
-74.0860329,4.67760950015366,3517,"Av Chile (Calle 72) con Carrera 60, sentido or→occ",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6776095,-74.0860329
-74.0753016,4.72040510015503,3518,"Calle 129 con Av Boyacá, sentido occ→or",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.7204051,-74.0753016
-74.1126963999999,4.6561232001529,3519,"Av La Esperanza con Av Boyacá, sentido or→occ",Choque con lesionado,Automóvil particular (3) - Conductor lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6561232,-74.1126964
-74.0829558999999,4.67330010015351,3520,"Carrera 63 con Av Calle 68, sentido n→s",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6733001,-74.0829559
-74.189115,4.63591870015227,3521,"Carrera 94 con Calle 54F sur, sentido n→s",Autolesionado,Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6359187,-74.189115
-74.0841544,4.59447170015092,3522,"Carrera 12 con Calle 4 sur, sentido s→n",Choque simple,Grúa (1) - Bus / buseta (1),Sin lesionados,2025/05/09 00:00:00+00,4.5944717,-74.0841544
-74.0382399,4.69072510015407,3523,"Carrera 9 este con Calle 110 sur, sentido s→n",Atropello,Motociclista lesionado (1) - Peatón lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.6907251,-74.0382399
-74.0394438,4.70374800015451,3524,"Calle 127 con Carrera 13, sentido or→occ",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.703748,-74.0394438
-74.1062476,4.58588830015062,3525,"Av Primero de Mayo con Carrera 24D, sentido occ→or",Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.5858883,-74.1062476
-74.0658119,4.76061460015633,3526,"Av Boyacá con Calle 170, sentido n→s",Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/05/09 00:00:00+00,4.7606146,-74.0658119
-74.1161309999999,4.6298691001521,3527,"Av El Dorado (Calle 26) con Carrera 62, sentido occ→or",Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/05/09 00:00:00+00,4.6298691,-74.116131
